DATA_LANCAMENTO_OBRA,TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,CPB_ROE,PUBLICO_TOTAL,RENDA_TOTAL,RAZAO_SOCIAL_DISTRIBUIDORA,REGISTRO_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA
2017-02-09,FIGHT VALLEY,FICÇÃO,ESTADOS UNIDOS,E1700025400000,162.0,1917.74,ENCRIPTA S/A,22364.0,15.182.829/0001-20
2017-02-02,L'ATTESA,FICÇÃO,FRANÇA,E1600346400000,14569.0,200994.61,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,173.0,03.599.148/0001-82
2017-02-02,CLARISSE OU ALGUMA COISA SOBRE NÓS DOIS,FICÇÃO,BRASIL,B1600502400000,4207.0,39101.34,SEREIA DISTRIBUIÇÃO DE FILMES LTDA,13753.0,08.905.114/0001-92
2017-02-02,HIDDEN FIGURES,FICÇÃO,ESTADOS UNIDOS,E1600763600000,398251.0,6633689.0,FOX FILM DO BRASIL LTDA,256.0,33.110.420/0001-80
2017-02-02,HELL OR HIGH WATER,FICÇÃO,ESTADOS UNIDOS,E1600689600000,52136.0,930083.3,ANTONIO FERNANDES FILMES LTDA,532.0,02.668.665/0001-01
2017-02-02,RINGS,FICÇÃO,ESTADOS UNIDOS,E1600561100000,1535871.0,21147560.0,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,169.0,27.654.722/0001-16
2017-02-02,JACKIE,FICÇÃO,CHILE,E1600784200000,85655.0,1579654.56,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2017-02-02,MISS SLOANE,FICÇÃO,ESTADOS UNIDOS,E1600783900000,4017.0,53477.68,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2017-02-02,THE BEATLES: EIGHT DAYS A WEEK - THE TOURING YEARS,DOCUMENTÁRIO,INGLATERRA,E1600767100000,13050.0,318057.76,FLIX MEDIA LTDA,34385.0,14.173.345/0001-51
2017-02-02,"TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA",FICÇÃO,BRASIL,B1600604900000,241184.0,3347154.19,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,4904.0,07.616.202/0001-01
